                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7325,                 2.7402,                 1.6264,                0.53798,                0.40303,                  0.433,                0.23758,                 1.5032,                 1.8854,                 1.5089,               0.070508,              0.0032768,              0.0032768
                      1,                 1.4692,                 1.6451,                 1.4014,                0.62914,                0.41515,                 0.4682,                0.24604,                 1.5956,                 1.9745,                 1.4368,               0.040378,              0.0064793,              0.0064793
                      2,                 1.3693,                 1.6178,                 1.2991,                0.58036,                0.48182,                0.46389,                0.25094,                 1.6568,                 1.9579,                 1.5641,               0.010115,              0.0095497,              0.0095497
                      3,                 1.3905,                 1.4369,                 1.3099,                0.67043,                0.44545,                0.54461,                0.29691,                  1.615,                 1.6867,                 1.5451,               0.009406,               0.009406,               0.009406
                      4,                 1.3852,                 1.2924,                 1.2933,                0.74568,                0.59529,                0.66558,                0.36888,                 1.5127,                 1.4398,                 1.4504,               0.009406,               0.009406,               0.009406
                      5,                 1.3459,                 1.2339,                 1.2776,                0.74717,                0.60303,                0.68208,                0.37971,                 1.4591,                 1.3366,                 1.3883,               0.009208,               0.009208,               0.009208
                      6,                 1.3481,                 1.2373,                 1.2991,                 0.7909,                 0.5303,                0.64176,                0.35577,                 1.4623,                 1.5377,                 1.4588,                0.00901,                0.00901,                0.00901
                      7,                 1.3603,                 1.2349,                 1.3066,                0.61401,                0.64545,                0.64512,                 0.3704,                 1.4882,                 1.3653,                 1.4645,               0.008812,               0.008812,               0.008812
                      8,                 1.3181,                 1.1922,                 1.3031,                0.73876,                0.56667,                0.68499,                 0.4025,                 1.3974,                 1.2437,                 1.3948,               0.008614,               0.008614,               0.008614
                      9,                 1.3287,                 1.1417,                 1.2695,                0.70715,                0.63939,                0.69736,                0.42152,                  1.399,                   1.27,                 1.3808,               0.008416,               0.008416,               0.008416
                     10,                 1.2968,                 1.1152,                 1.2583,                0.79382,                0.55455,                 0.6589,                0.38577,                 1.4474,                 1.3759,                 1.4028,               0.008218,               0.008218,               0.008218
                     11,                 1.2653,                 1.0809,                 1.2299,                0.79587,                0.61435,                0.70961,                0.42189,                 1.4078,                 1.2015,                 1.3888,                0.00802,                0.00802,                0.00802
                     12,                  1.304,                  1.071,                 1.2552,                0.75494,                0.63939,                  0.707,                0.43484,                 1.3691,                 1.1802,                 1.3941,               0.007822,               0.007822,               0.007822
                     13,                 1.2951,                  1.071,                 1.2866,                0.76087,                0.60746,                0.70581,                0.41778,                   1.38,                 1.1963,                   1.38,               0.007624,               0.007624,               0.007624
                     14,                 1.2228,                0.99242,                 1.2169,                0.75365,                0.58485,                0.66818,                 0.3833,                 1.4778,                  1.322,                 1.4069,               0.007426,               0.007426,               0.007426
                     15,                 1.2259,                 0.9863,                 1.2172,                0.74219,                0.55758,                0.61856,                0.35851,                 1.5036,                 1.5123,                 1.4735,               0.007228,               0.007228,               0.007228
                     16,                 1.2243,                  0.938,                 1.2024,                0.74066,                0.65152,                0.72032,                0.43319,                 1.3967,                 1.1898,                 1.3945,                0.00703,                0.00703,                0.00703
                     17,                 1.1901,                0.92765,                 1.1782,                0.74647,                0.61562,                0.73318,                0.43402,                 1.3658,                  1.193,                 1.3771,               0.006832,               0.006832,               0.006832
                     18,                 1.1735,                 0.9423,                 1.1971,                0.70636,                0.59697,                0.69478,                0.40748,                 1.4469,                 1.1834,                 1.4125,               0.006634,               0.006634,               0.006634
                     19,                 1.1593,                0.91251,                  1.173,                0.74858,                 0.6303,                0.69968,                0.39491,                 1.4861,                 1.2203,                 1.4347,               0.006436,               0.006436,               0.006436
